add-none,6,100000,1200000,20245725,16,336
add-none,7,10,140,496161,3544,0
add-none,7,100,1400,501881,358,0
add-none,7,1000,14000,443791,31,12
add-none,7,10000,140000,3155240,22,-17
add-none,7,100000,1400000,28246765,20,-450
add-none,8,10,160,534740,3342,0
add-none,8,100,1600,496989,310,0
add-none,8,1000,16000,488566,30,0
add-none,8,10000,160000,2824628,17,72
add-none,8,100000,1600000,19771187,12,6
add-yield-none,2,100,400,553895,1384,0
add-yield-none,2,1000,4000,2218746,554,1
add-yield-none,2,10000,40000,16330607,408,2
add-yield-none,2,100000,400000,187240777,468,16
add-yield-none,3,100,600,563153,938,2
add-yield-none,3,1000,6000,2256087,376,-1
add-yield-none,3,10000,60000,18704526,311,5
add-yield-none,3,100000,600000,184909588,308,1
add-yield-none,4,100,800,583396,729,0
add-yield-none,4,1000,8000,2213325,276,0
add-yield-none,4,10000,80000,18636815,232,9
add-yield-none,4,100000,800000,186468348,233,31
add-yield-none,5,100,1000,596299,596,7
add-yield-none,5,1000,10000,2321107,232,0
add-yield-none,5,10000,100000,18272721,182,1
add-yield-none,5,100000,1000000,176102525,176,0
add-yield-none,6,100,1200,548019,456,2
add-yield-none,6,1000,12000,2409863,200,4
add-yield-none,6,10000,120000,19163029,159,0
add-yield-none,6,100000,1200000,194997789,162,6
add-yield-none,7,100,1400,612908,437,1
add-yield-none,7,1000,14000,2180811,155,2
add-yield-none,7,10000,140000,20239837,144,1
add-yield-none,7,100000,1400000,181880057,129,0
add-yield-none,8,100,1600,651486,407,0
add-yield-none,8,1000,16000,2457291,153,0
add-yield-none,8,10000,160000,20998733,131,-1
add-yield-none,8,100000,1600000,186795029,116,10
add-yield-m,2,10,40,460475,11511,0
add-yield-c,2,10,40,404276,10106,0
add-yield-m,2,100,400,888566,2221,0
add-yield-c,2,100,400,572233,1430,0
add-yield-m,2,1000,4000,5992599,1498,0
add-yield-c,2,1000,4000,3610380,902,0
add-yield-m,2,10000,40000,53666408,1341,0
add-yield-c,2,10000,40000,35161425,879,0
add-yield-m,4,10,80,406590,5082,0
add-yield-c,4,10,80,396720,4959,0
add-yield-m,4,100,800,1575485,1969,0
add-yield-c,4,100,800,919192,1148,0
add-yield-m,4,1000,8000,13573187,1696,0
add-yield-c,4,1000,8000,7352834,919,0
add-yield-m,4,10000,80000,136331826,1704,0
add-yield-c,4,10000,80000,73285976,916,0
add-yield-m,8,10,160,531852,3324,0
add-yield-c,8,10,160,502823,3142,0
add-yield-m,8,100,1600,2798518,1749,0
add-yield-c,8,100,1600,1648770,1030,0
add-yield-m,8,1000,16000,26735363,1670,0
add-yield-c,8,1000,16000,14983167,936,0
add-yield-m,8,10000,160000,276342182,1727,0
add-yield-c,8,10000,160000,146919567,918,0
add-yield-m,12,10,240,728613,3035,0
add-yield-c,12,10,240,566199,2359,0
add-yield-m,12,100,2400,4648248,1936,0
add-yield-c,12,100,2400,2231853,929,0
add-yield-m,12,1000,24000,44713051,1863,0
add-yield-c,12,1000,24000,20255094,843,0
add-yield-m,12,10000,240000,447854105,1866,0
add-yield-c,12,10000,240000,205487503,856,0
add-yield-s,2,10,40,358662,8966,0
add-yield-s,2,100,400,681399,1703,0
add-yield-s,2,1000,4000,3593034,898,0
add-yield-s,4,10,80,385993,4824,0
add-yield-s,4,100,800,1242766,1553,0
add-yield-s,4,1000,8000,10955632,1369,0
add-yield-s,8,10,160,555735,3473,0
add-yield-s,8,100,1600,2562347,1601,0
add-yield-s,8,1000,16000,28643920,1790,0
add-yield-s,12,10,240,645559,2689,0
add-yield-s,12,100,2400,4939318,2058,0
add-yield-s,12,1000,24000,53101187,2212,0
add-m,1,1,2,307380,153690,0
add-c,1,1,2,303515,151757,0
add-s,1,1,2,293266,146633,0
add-m,1,10,20,322462,16123,0
add-c,1,10,20,310214,15510,0
add-s,1,10,20,330143,16507,0
add-m,1,100,200,344238,1721,0
add-c,1,100,200,299978,1499,0
add-s,1,100,200,338449,1692,0
add-m,1,1000,2000,353105,176,0
add-c,1,1000,2000,388980,194,0
add-s,1,1000,2000,391532,195,0
add-m,1,10000,20000,1155641,57,0
add-c,1,10000,20000,809723,40,0
add-s,1,10000,20000,693240,34,0
add-m,2,1,4,364599,91149,0
add-c,2,1,4,351035,87758,0
add-s,2,1,4,319215,79803,0
add-m,2,10,40,409205,10230,0
add-c,2,10,40,351018,8775,0
add-s,2,10,40,327704,8192,0
add-m,2,100,400,339530,848,0
add-c,2,100,400,329636,824,0
add-s,2,100,400,335452,838,0
add-m,2,1000,4000,657693,164,0
add-c,2,1000,4000,407803,101,0
add-s,2,1000,4000,351216,87,0
add-m,2,10000,40000,6729165,168,0
add-c,2,10000,40000,1844804,46,0
add-s,2,10000,40000,3612638,90,0
add-m,4,1,8,371635,46454,0
add-c,4,1,8,405188,50648,0
add-s,4,1,8,426978,53372,0
add-m,4,10,80,393557,4919,0
add-c,4,10,80,388390,4854,0
add-s,4,10,80,379116,4738,0
add-m,4,100,800,366749,458,0
add-c,4,100,800,410451,513,0
add-s,4,100,800,384126,480,0
add-m,4,1000,8000,1282980,160,0
add-c,4,1000,8000,775669,96,0
add-s,4,1000,8000,888010,111,0
add-m,4,10000,80000,11513860,143,0
add-c,4,10000,80000,6330382,79,0
add-s,4,10000,80000,22119126,276,0
add-m,8,1,16,566521,35407,0
add-c,8,1,16,655992,40999,0
add-s,8,1,16,548538,34283,0
add-m,8,10,160,531192,3319,0
add-c,8,10,160,549617,3435,0
add-s,8,10,160,607413,3796,0
add-m,8,100,1600,582961,364,0
add-c,8,100,1600,539761,337,0
add-s,8,100,1600,542165,338,0
add-m,8,1000,16000,4068895,254,0
add-c,8,1000,16000,1396921,87,0
add-s,8,1000,16000,6151383,384,0
add-m,8,10000,160000,32003741,200,0
add-c,8,10000,160000,14493779,90,0
add-s,8,10000,160000,56363794,352,0
add-m,12,1,24,632879,26369,0
add-c,12,1,24,638490,26603,0
add-s,12,1,24,606530,25272,0
add-m,12,10,240,620722,2586,0
add-c,12,10,240,606120,2525,0
add-s,12,10,240,619069,2579,0
add-m,12,100,2400,703241,293,0
add-c,12,100,2400,596654,248,0
add-s,12,100,2400,614614,256,0
add-m,12,1000,24000,5490431,228,0
add-c,12,1000,24000,3573094,148,0
add-s,12,1000,24000,10084071,420,0
add-m,12,10000,240000,52915179,220,0
add-c,12,10000,240000,34816837,145,0
add-s,12,10000,240000,144483167,602,0
